"Month","Temperature","Salinity","CurrentSpeed","pH"
1,6.44509398916097,21.1740777837761,0.0733148581320275,8.04604201345249
2,6.05011103431462,20.959146234681,0.067964715512768,8.09664742237408
3,8.65169862883923,20.6154821864561,0.0583412883287314,8.16400181560045
4,13.4601817612852,20.2303374746179,0.0518519225379194,8.23041118840625
5,18.6438568328352,20.0101323432943,0.0481389571575225,8.26667742788387
6,23.7571506611066,20.1027196128084,0.0540085344605683,8.24460587814899
7,26.7994184726717,20.6084706125633,0.0584122719732563,8.16889011423782
8,26.7665511626827,21.225686280178,0.0391642888173439,8.08675358373983
9,24.2608322125873,21.7905179337881,0.0381832440962308,8.03901143572893
10,19.3926361931573,21.9768026656595,0.0493324149761534,8.0533249861672
11,13.9883616945041,21.9183771225419,0.0553351005405394,8.06491714680239
12,9.42967527729813,21.5666214162887,0.0667113006972092,8.04065049905845
